comment,comment_length
"Lah trus lu maunya keretanya ngebut 100 km/h pas nikung disitu?? Kendaraan apapun kalo pas nikung ya pasti ngurangin kecepatan laah.. mau keretanya lompat keluar dari relnya apa? Suara doang imut, isi omongannya konyol.. pikir dikitlah pake akal sehat lu mba.",259
Nahloh,6
Kalau menurut saya kalau ada kesalahan design  perencana dan konsultan yang bertanggung jawab dan bisa diperiksa karena tidak sesuai dengan target,146
"Yg jadi masalah ternyata gimana design nya menggerus/kikis ntah rail ato roda gitu klo ga salah. Trus ada yg complain, lupa wamen ato dr pihak mana gitu, perempuan, bilang bahwa udah salah, jgn di terusin. True mulyono di bilang bgitu malah sewot . Suru lanjutin. Ampe skr gw masih keikut sebel tiap naik lrt di ruas ini. Logic kalah sama agenda politik. Super tolol mulyono. Mending mumpung si wowo, di benerin dah tuh ya. Ngandelin ANUNG sama DUL mah sama aja berak ga cebok.",477
Narasi nya salah.Belokannya sudah terkunci .jadi itu belokan hanya itu yang bisa.Sudut roda yang bermasalah.sekarang sudah lebih cepat.,135
Gitu kalo proyek di desain oleh perempuan 😭😭,44
Designer magang kali...,23
"Inilah yg dikatakan bodoh sombong. Lain kali belajar dulu. Terlajak perahu boleh diundur, taknak belajar buruk padahnya",119
Tapi dilihat dari segi fungsi mungkin bisa di toleransi para insinyur kita memang sepertinya baru pertama kali megang proyek seperti ini tapi seenggaknya antusias masyarakat ada untuk menggunakan transportasi ini,212
Ya ktimbang repair...ajust aja toh!!!...☝️😄,43
Ketidakprofesional  selalu di bilang wajar itulah mulyono,57
kalau yang salah desai itu oleh pejabat rendahan pasti di suruh denda,69
"gw rasa ini wamen BUMN ini nimbrung di saat barang udah launching tp gak pernah ikut proses desain dari awal. <br>proyek LRT ini masuk PSN, ada konsultasi sama PUPR juga. <br>dari awal udah di bilangin, karena lahan terbatas, radius putarnya jadi lebih kecil. kan gak mungkin ngebebasin lahan2 premium disitu cuman buat akomodir speed kereta, diproyek selalu ada yg namanya cost control &amp; value engineering. <br>mau berapa ratus Triliun di pake buat ngebebasin lahan? <br>ya mending kereta nya aja yg speednya melambat, lagian mau masuk stasiunpun. <br>lagian dengan radius putar sekecil itu pun panjang bentangnya udah di atas 100m tanpa tiang, klo engineer nya gak jago gak bisa jadi itu barang.",701
"Kuncinya hanya 1. KORUPSI... <br>Muri juga koruptor doang isinya..... <br>Belum tol mohammed bin Zayed yang desain awalnya bisa dilewati oleh golongan 4 &amp; 5.......<br>Tapi endingnya golongan 1 pun tinggi maksimal 2,1 meter...... Penyebabnya tak lain tak bukan hanya 1.KORUPSI.......<br>Kan lucu banget kalo rakyat tetap diam dan ga mulai menggulingkan pemerintah busuk sejak jaman mulyono ini😂😂😂",399
Loh proyek lrt pertama?? Bukannya dipalembang udh dari 2018 ya...,65
"Salah ya salah.<br>Jgn dimaklumi.<br>Ini tentang fasilitas umum yg bersangkutan dgn nyawa.<br>Klo memang jd resiko, bongkar ulang dan perbaiki.<br>32,5 T itu uang yg fantastis",175
"Emang gak becus, ngurus gini saja bisa salah..",46
Indonesia? Pulau jakarta aja kali,33
Udeh yg penting bisa di pakai dari pada di bongkar buang biaya,62
Lol,3
Engineernya di bayar kecil PASTI sama pemerintah 😂😂😂,52
Ngomong LRT Jakarta tpi tampilan nya LRT Jabodebek lucu amat😂😂😂,63
